COMB,comments,likes
C-Psy,1464.356538235868,22348.279112788114
M-Aut,1201.8825715635971,16670.716065802502
M-Ref,1557.212489102682,18790.845287019205
O-Phy,3673.4364833678696,58850.76159956768
O-Soc,6868.090692738429,110171.60601907647
